Chal bhai  Samsher  Shaabash | DEL
te hun gaane gaa rahe ne | DEL
Paise nahi de rahi thi | STD
Talab lagi thi | HUM
Ae le pra Jackie Chan | DEL
Sat sri akal Parjaayi | DEL
Sat sri akal veerey | DEL
Lassi lussi peeni hai | DEL
Biharan hai | DEL
Karnail Singh de khetan vich kaam kardi hai | DEL
Poori planning kitti honi hai haraamjaadi ne | DEL
Taa hi main sochaan ki pancho | DEL
delivery gayi taa gayi kitthe | DEL
Taa fer tu kis gal da bhaandi | DEL
Tera peo kaam karda si meri leyin | DEL
Os tohn pehlaan ouda peo mere peo leyin | DEL
Kadi koi bhasudi payi | DEL
Sun  Maari na | DEL
Family relation hai | STD
Aeda ki karna hai | DEL
Aetthe tey koi relation nahi | DEL
Phenkna hi tha toh churaaya kyun | STD
Bhenchod gashti | DEL
Tu tension na leyi | DEL
Main sab theek kar dyaanga | DEL
Veerey Veerey khol de veerey | DEL
Bas ek vaari len de | DEL
Bhenchodaan kee karaan main tera | DEL
Svere jaanda haan raati aanda haan | DEL
mainu ki pata ki chal rya hai | DEL
tussi taa khyaal rakh sakde si | DEL
Nasha kalla banda karda hai  par ouda effect poori family te honda hai | DEL
Shuru vich taa banda shauq shauq vich karda hai | DEL
par os toh baad drugs hi oudi life da maqsad ban jaandi hai | DEL
Yaar dost kaam kaaj family saare parey | DEL
Bandey vich jo vi khoobsurati hai | DEL
oudi life vich jo vi soni cheez hai | DEL
nasha saara kuchh khatam kar denda hai | DEL
Ae main suni sunaayi gal nahi kar rhi | DEL
aap vekhya hai | DEL
Main ghar jaana hai | STD
Maa main ghar jaana hai | STD
Thank you Madamji  Ab aap hi theek karo ise | STD
Shyam in ko ward mein le jaao | STD
Jaa bachche vekh le aena vi maada nahi saada clinic | DEL
Aage se yehaan na apni is vardi mein mat aana | DEL
Kya bol rahe the aap us din | STD
Ki koi idea hi nahi tha bhai ke saath kya ho raha hai | STD
Jashanpura mein jo ho raha hai uska idea hai | STD
Amritsar ka Tarn Taran ka Punjab ka  Hai idea aapko | STD
ho na aap Kaun sa department | STD
Kya ho gaya Madam Aap aise kyun baat kar rahe ho | STD
Kitna bhatta milta hai ko idea na hone ka | STD
Hafte ka dus hazaar na | STD
Toh yehaan kyun le ke aaye ho | STD
Dilli le jaate kisi private waale clinic mein | DEL
Baat kya hai Madam Chadhe hi jaa rahe ho aap toh | DEL
Main kuchh bol nahi raha matlab | STD
Kya bologe | STD
Poori nasal kharaab kar di toh theek tha | HUM
bhai pe baat aayi | STD
toh fat gayi na | DEL
Yeh leta hai aapka bhai | STD
Pheniramine aur buprenorphine ka combination | STD
Kahin toh dikhi hogi ye botal | STD
ya iske baare mein bhi koi idea nahi | STD
Do alag alag drugs hain jo sirf prescription pe bikni chahiye | STD
Par aap logon ki meherbaani hai ki | HUM
banaane waale ye cocktail bana bhi rahe hain aur bechne wale khule aam bech bhi rahe hain | HUM
Chaand naam se har chemist shop mein bikti hai | STD
pachaas rupaye mein | STD
Aapke bhai ke jaan ki keemat | STD
Jaan de baby jaan de | DEL
truck jaange taa hi teri tarakki honi hai | DEL
Nahi taa naake hi sambhaalde reh jaayenga poori jindagi | DEL
Leni hai aedi | DEL
Sartaj Kee kar rya hai chhadh | DEL
oye Kee hoya kee | DEL
Damaag bund vich hai tera | DEL
Pehelwan di gaddi hai penchodaa | DEL
Nopi ley jaa aenu patti putti kara de | DEL
Chal Bihari  shaabaash  koi na | DEL
Haan bhai Joginder gaddi Pehelwan de godown ley jaa | DEL
Kee hoya kee tainu | DEL
Damaag control vich rakhya kar | DEL
Ik system honda hai | DEL
Saare oude hisaab naal chalde ne | DEL
Driver nu kut ta | DEL
koi nahi Gaddi te maal nu haath nahi lounde | DEL
Pehelwan hai par naake da rate denda hai | DEL
Denda hai ki nahi | DEL
Aeda matlab ae nahi ki o fuddu hai | DEL
Ik mint vich suspend kara dega | DEL
Paahji  main kaar jaana hai | DEL
Haan tu jaa Balli da take care karin | DEL
Koi problem hoye taa whatsup kar deyi | DEL
Master aaunda nahi si | DEL
Vele baithe kee karde | DEL
Baaki munde vi lende si | DEL
Main keya main vi try kaar laan | DEL
Kinne saal ho gaye | DEL
Ik | DEL
Do | DEL
Tu mainu do maheene de de bachche | DEL
Vekh jhooth nahi kahaangi | DEL
Mushkil te honi hai | DEL
Laatein tootengi pet dukhega sir fatega | DEL
Par main aetthe haan | DEL
Chaubees ghante | STD
Tainu kujj ni hona | DEL
Ghar vich saare tainu inna pyaar karde ne | DEL
Karde ne ki nahi | DEL
Maa hai | STD
pra hai | DEL
Pra maarda hai | DEL
Aa jaao bhai chaa chu pee lo | DEL
Aise kyun kar rahi ho | STD
Tum toh jaanti ho Sonu loves you | STD
And only you Jaanti ho na | STD
Dekho  Veerji ke saamne jo bhi karna padta hai woh toh formality hai | STD
Ek baar main Roadies ban jaaunga na | STD
Bombay chale jaayenge | STD
Kuchh bhi chahiye toh bolo | STD
Bigad gayi ho hamaare saath | STD
Photo vich better lag ri si | DEL
Munh vich paavanga taa kategi tey nahi | DEL
Naa paahji Trained ho gayi hai | DEL
Bas ik vadiya gaana banaa de yaara | DEL
Baaki tatti vi honge taa main o Speedy Record waaleya nu settle kar laanga | DEL
Bas ik gaana | DEL
Ik gaana  Hor ae anti drug concert vaaste the best rehna hai | DEL
Case vich vi help karega | DEL
Judge di permission ley lu ke tu nikal jaayi Manchester | DEL
Saare rockstar os hee clinic vich jaande ne | DEL
Mick Jagger Oasis haale munde | DEL
Number one jagah hai | STD
Mheene vich clean clun kaar dende ne | DEL
Keya si na Nahi ho reya matlab nahi ho reya | DEL
Bhenchodon Twaadi inspiration de chakkar vich saada munda jail ho aaya | DEL
Je hun naa vi leya taan bund vich chakku paa dyaanga | DEL
Main London jaana hai | DEL
Jhaantu saale Munde de goteyaan naal chimde paye hain | DEL
Pajo penchodon itthon | DEL
Main jaana hai | DEL
Bhenchodon roko onu | DEL
Khol darwajja Main London jaana hai | DEL
Tommy puttar hun tu kitthe jaana hai | DEL
kitthe nahi | DEL
judge decide karega | STD
Bas tu ae concert kar le | DEL
Main jaana hai | DEL
Bhenchod Mainu goli maarenga tu | DEL
Mainu Saale star banaaya tainu | DEL
Waiteri kaar rya si Birmingham vich | DEL
Tera peo bhenchod tur gaya si chhad chhud ke | DEL
Main teri pen da vyaah karaaya penchodaya | DEL
tu mainu goli maarenga Mainu | DEL
Chala goli penchod | DEL
Le dawaayi le le | STD
Le le bachche aaraam milega | STD
Kaun hai | STD
Ghabraao mat Madam | STD
Pulce aayi hai daaku nahi aaye | DEL
Is election mein daaru kambal nahi | STD
yeh baantne wale hain | STD
Truckon mein lad ke aa raha hai | DEL
Godown bhar rahe hain | STD
Full organised maamla hai | STD
Party worker baantenge pind pind jaa ke | DEL
Saale Pehelwan ki guddi pakad ke ghused doonga thaane mein | DEL
Ab yaa toh naukri jaayegi ya goli lagegi | STD
Aap dekh lo media mudia mein uchhalna hai toh | DEL
Shaayad fer maamla dabaana mushkil ho | STD
Aur aapka bhi naam chhap jaayega | STD
System mein reh ke kuchh karna aur | STD
baahar se ho halla karne mein jo | STD
farak hai na wo aapko isi case se samajh aa jaayega | STD
Sirf Pehelwan ko pakadne se kya hoga | STD
Hain ji | DEL
Har seat pe har shaher mein ek pehelwan baitha hai | STD
Pehelwan to sirf yeh drugs baant raha hai | STD
Pakadna toh unhe chahiye jo ye drugs bana rahe hain | STD
Unki factory ka pata lagao | STD
Wahaan raid | STD
Madam ye vardi dekhi hai meri | STD
Two star Kaun hota hai | STD
Commissioner Tuchcha sa hoon Meri kaun sunne | BOM
Tumne kaha ye maal election ke liye ban raha hai | STD
Toh koi political connection toh hoga na | STD
Connection Yeh politicalconnection nahi hai Madam | STD
yehi politics hai | STD
Jo aap log bhaashan dete ho pe narco politics yehi hai Wo | STD
Minister Brar sab ko cut jaata hai | STD
Kitne toh khud dealer hain | STD
Aise mein meri aapki kaun sunne wala hai | STD
Ek maheene mein election hai | STD
Is waqt state mein active hai aur powerful bhi | STD
Saath mein media se bhi pressure daalein toh unhe kuchh action toh lena hi hoga | STD
Par jo karna hai election ke pehle karna hoga | STD
Hum toh driver aadmi hain | EUP
Barotiwala mein hai na teri factory Himachal border par | STD
Chal ek gedi maar ke aate hain | DEL
Naukriya chali jaayegi Maharaj | EUP
Saharanpur se aaye thhe | STD
socha dus bees kamaa ke gaaon waapas chale jaayenge | STD
Wo bitiya ka saadi bhi karaana tha | EUP
Kahin company ka koi naam koi board boord kuchh nahi | DEL
Lagta nahi yehaan se maalkon ka pata chalega | DEL
Yeh saare chemicals lagte hain is drug ko banaane mein | STD
Sab aasaani se nahi milte | STD
Kuchh import hote hain | STD
Kuchh controlled hain | STD
Jaise ki opium India mein | STD
afeem legally sirf do jagah banti hai | STD
Ghazipur aur Malwa mein | STD
Government controlled Wahaan se maal sirf licenced pharmaceutical companies ko hi milta hai | STD
Matlab yaa toh koi pharma companies hain jo inhe supply kar rahi hai | STD
Yaa fir inhone koi front create kiya hai | STD
jiske naam pe yeh paperwork kar rahe hain | STD
Agar uska pata laga lo Sartaj toh | STD
Hello Madam main jatt buddhi haan | DEL
Jinni tafteesh mere se honi thi ho gayi | DEL
Kisi ki help le sakte ho | STD
Kiski Department mein toh kisi ko pata bhi lag gaya na | STD
Socho  Sartaj Koi toh milega | STD
Madam aap hi ko pata hain yeh chemical chumical | DEL
Tumhaara dimaag toh theek hai | DEL
Sawaal hi nahi uthata | STD
Shift bandh hogi tab jaayenge | STD
Ek do watchmen chhod ke koi nahi hota | STD
Yeh sab mera kaam nahi hai Sartaj | STD
Main ek doctor hoon lady hoon | STD
Madam Punjab ke saare gabru toh | DEL
suiyaan lagaa ke tight hain | DEL
Toh ladies ko hi kuchh karna padega na | STD
Aapne Balli ki jaan bachaayi hai | STD
Madam Aapko kuchh nahi hone dunga | STD
Tommy di gaddi vich Diet Coke rakhi ke nahi | STD
Drugs di maa di | DEL
Chalo Madam Yehi truck hai | STD
Dose chahiye Ramavtar laga raha hai peechhe ki taraf | STD
Saala double kar diya hai shift | STD
Jaanwar samajh rakha hai | STD
Ae lambe baal waala look try karin | DEL
aaj Suit karega | STD
Aaj rock kar deyin | DEL
Mere se nahi hona | BOM
Bas yaar Dilip Saari kalaakari aaj hi dikhaayega | HUM
Kat le bhenchod | DEL
Main samajhda haan veerey | DEL
Gaddi vich petrol nahi houga taa ki lun chalegi | DEL
Hor fer  saadi gaddi taa Hummer hai | DEL
Petrol vi jyaada peendi hai | DEL
Hun das Whos The Gabru | DEL
Twaadi Pulce twaadi government te | DEL
haath paiyr maar hi rhi hai | STD
Par main Punjab de ik ik youth nu ae kehna chahanda hai ki | DEL
ae jeda war on drugs hai ae twaanu | DEL
individually vi fight kaarna paina | DEL
Kaake Sonu oye | DEL
Kaakey gaddi kad oye | DEL
Dekho Madam kuchh milta hai toh | STD
Yehaan toh nahi hai kuchh bhi | STD
Wahaan dekhte hain | STD
Tumne toh kahaa tha abhi koi shift nahi hai | STD
Sirji Ghazipur tohn maal aa gaya | DEL
Sartaj shaayad yehi wo consignment hai | STD
Isi ki details chahiye | STD
Jaisa hi mera phone aaye seedhe baahar aa jaana | STD
light nu kee ho gaya vekh oye | DEL
Kee hoya si | DEL
Pata nahi Down thha | STD
Shit Chalo yehaan se | STD
Sartaj Theek ho tum | STD
Sartaj  Baitho | STD
Tum theek ho | STD
Ik gal dasaan Madamji | DEL
Maine na | STD
Madamji twaadi vargi | DEL
lady nahi vekhi Twaade chaarE paase gandh hai | DEL
nashedi charsi par tussi fer vi ik dum clean | DEL
dignity Main aap o hi taa nahi kar paaya | DEL
Pressure vich aa ke apni duty chadh di | DEL
Par tussi na aisi chapet maari pancho ankhaan kholti | DEL
Achcha chalo ab side ho | STD
Twaanu pata hai sab tohn maadi joon | DEL
life ki worst tragedy hai Madam | STD
kisi apne nu jaande vekhna | DEL
apni akhhan de saamne | DEL
Hor kujj na kar paana | DEL
Bapu taa gaya hi si | DEL
hun je pra jaanda na | DEL
Tussi onu nahi mainu bachaaya hai | DEL
Hun onu theek kar do bas | DEL
Sun Dekh meri taraf Aankhen khol | STD
Ab jeebh dikha | STD
Muh khol Sartaj | STD
Kuchh nahi hoga Balli ko Pakka | STD
Thank you  Madamji | STD
Tussi hero ho mere | DEL
Aur hero wero kuchh nahi | DEL
Bas koshish kar rahi hoon | STD
Do jung chal rahi hain Punjab mein | HUM
Jo main aur tu lad rahe hain | STD
Pehelwan jaise logon se system | STD
wo toh fir bhi aasaan hai | STD
Asli war on drugs wo hai jo Balli jaise drug addicts lad rahe hain apne aap se | STD
Wo jeetenge toh hum jeetenge | STD
Wo haare toh Punjab haar gaya | STD
Bhai tu theek hai na bhai | STD
Dikha koi Haan dikha koi | STD
Kahaan se dikhega Kuchh naalo mein pade hain | STD
koi apni hi ulti mein lote raha hai | STD
aur kaiyon ka toh already waheguru ho gaya | DEL
Chal gaana suna de yaar | STD
Gaana vi sunaaunga pra Pehlaan gal taa sun le | DEL
Yaar main na bhot chhota aadmi haan | STD
Chutiyaa haan Ae haa main | DEL
Fuddu  Main fuddu haan taa | DEL
dukaan chal gayi music di nahi taa | DEL
waiteri kar rya hunda yaa fer | DEL
kitthe taxi chala rya hunda | DEL
High school mar mura ke paas kitti si | DEL
Bas ik cheej di knowledge si | DEL
Drugs Hor os baare mein gaa ditta | DEL
Tussi onu philosophy maan leya | DEL
Tussi taa pancho mere tohn vi vadde fuddu nikale | DEL
Chal chal Bhot ho gaya Hun gaana suna de | DEL
Hor tu taa sab tohn vadda fuddu hai | DEL
veerey Je hun vi tainu gal samajh nhi aa rahi | DEL
Gaana gaa yaa waapas jaa | STD
Gaana gaa yaa waapas jaa | STD
Gaana gaa yaa waapas jaa | STD
Gaana sun na hai Taa ae lo | DEL
Kaat denge bhenchod | DEL
Bhaag yehaan se | STD
Please chhupne de | STD
Kaun ho | STD
Main Tommy | STD
Kutta | STD
Chupchaap koney mein baith jaao | STD
Maal hai | STD
Maal hai | STD
Kisse bhaag raha hai | STD
Apne aap se | STD
Duniya ka sabse bada | STD
Humse bada nahi ho sakte | EUP
Chal oye Chutiyon ka champion hoon main | DEL
Dekh chutiyaapa kar ke kahaan se kahaan pahunch gaya | DEL
Hum bhi rasta bhool ke nahi aaye hain yehaan hamaara sunoge na | EUP
rehen de Meri toh khopadi pe bhi likha hai Dekh | BOM
Yeh to fuddu likha hai | DEL
Ek hi baat hai | STD
Kaisa ek hi baat hua | EUP
Fuddu fuddu hota hai  chutiya chutiya hota hai | DEL
Ek cheez soch raha tha | STD
mere se akele se hoga nahi | STD
Saath mein suicide karegi | STD
Bhaag itna bada chutiya bhi nahi hain | EUP
Aur tum saala yeh sab baat daalo mat hamaara dimaag mein Manhoos saala | EUP
Haan maar le Pancho tu bhi maar le ab | DEL
Toh kaahe manhoosiyat batiya rahe ho | EUP
Haan te hor kee karaan Pancho | DEL
changi gal sunni kine hai | DEL
Aaj kari toh ande phenkne lage gaandu | DEL
vekh ae vekh | DEL
Aur jo pichhle 4 saal se bakwaas kar raha tha woh sab sahi tha inke liye | STD
pancho star bana diya | DEL
22 saal mein  pop fuckin star Lakkhan iyan bechi from London se Ludhiana | DEL
Aur uske baad phusss | DEL
Soch ke dekh Koi tere ko bole ki teri life | STD
mein jo nikal gaya wo tera sabse | STD
achcha time tha Ab isse achcha | STD
time nahi aane waala | STD
Maal khatam  Party over | STD
Manhoos  saala Kaise nahi aayega achcha time bey | EUP
Saala achcha time khojte khojte toh yeh haal ho gaya | EUP
Chutiya nahi hain hum | EUP
Socha Bihar ke liye khelenge toh achcha time aayega | STD
Tab bhosadi baap mar gaya | EUP
Sarhota aaye  khet mein hansiya chalaane lage | EUP
Saala ek din aasmaan se wo packet aa ke | STD
gira Socha bech denge toh achcha time aayega | STD
Ho gaya chutiyapa | DEL
Dharaa gaye saala Jaanwar banaa diya humko | EUP
Kutta ka jindagi | EUP
Kabh yeh chadhta hai kabhi wo chadhta hai | STD
kabhi maadarchod sab saath mein chadhta hai | EUP
Pataa hai tumko kya hua hai hamaare saath | EUP
Yeh Yeh chhod ke sab kuchh hua hai | STD
Khidki mein se Goa ka ek adotise dikhta hai | EUP
usi ko taadte rahte hain | EUP
Kyunki wo hamaara achcha time hai | STD
Aur wo aayega Aana padega | STD
bhosadi usko Hum le ke aayenge | EUP
Aur jab aayega toh poochhenge usko | STD
ki itna time kahaan thha be tu maadar | EUP
Saala paanch kilo heroin pachaas kilo ka aadmi se jyaada jaroori ho gaya | EUP
Humko toh nahi jamaa tumhaara Punjab | EUP
Kabhi beedi nahi piye thhe | EUP
saala sui ka aadat laga diya humko idhar | EUP
Chhod kyun nahi deti | STD
Punjab Ya sui | STD
Punjab Pulce ne Tommy Singh ute obscenity te public nuisance da case file kitta hai | DEL
Court ne case admit karde hoye Tommy Singh de | DEL
khilaaf non bailable warrant jaari kitta hai | DEL
Home Minister Brar ne ghatna di nindya karde hoye pulce | DEL
nu nirdesh ditta hai ki Tommy nu jald toh jald | DEL
Bhenchodaa Je Veerji nu pata lag gaya na | DEL
kuku yaar main aenu samjhaa dyaanga Chhad hun | DEL
Hun aede vich kee reh gaya hai | DEL
Choosa aam  Katt ke sut deneya saali nu | DEL
Pakka yaar Hun pakka nahi karegi | DEL
Chalo guarantee do inko  Nahi karogi na | STD
Bhai please bhai Please | STD
Bahot naaraz hu main tumse | STD
Kahaa tha na Ruk jaao Bombay le jaaunga | STD
Baby samjho baat ko | STD
Baahar nahi manage kar paaogi | STD
Tumhe to pata hai heroin kitni mehengi hai | STD
Paison ke liye kisi bhi laude lahsun ke saath sona padega toh | DEL
achcha lagega toh love you | STD
Woh toh sirf use karenge tumhe | STD
In sab ke peechhe koi Virender | STD
Sorry sorry Bataati hoon | STD
Dekh Deluxe Pharmaceuticals hi wo front | STD
hai jiske naam pe inko government | STD
controlled opium supply ho rahi hai | STD
Farji company hai internet pe koi ata pataa nahi | DEL
label pe diye phone number bhi kaam nahi kar rahe | STD
Par Registrar of Companies ki website pe iske owner ke details mil gaye | STD
Koi Virender Singh hai Pind Haveliyan mein | DEL
Yeh Virender Singh kaun Mujhe toh laga thha koi bada neta nuta hoga | DEL
Ho sakta hai kisi neta ka khaas ho | STD
Madamji wo kal raat | STD
Tu theek hai na ab | STD
Sartaj Balli bahot resist kar raha | STD
hai Hum uski help tabhi kar sakte hain jab wo khud chhodna chaahe | STD
Hamaare yehaan nahi hota woh koot kaat ke chhudaane waala treatment | DEL
Aaya jab se yehi haal | STD
Kal raat ko toh aisa kaata Balbir ko ki baaki patients ka morale down hota hai | STD
Madam isne baahar na khatam ho jaana hai | STD
Aapko toh maahaul pata hi hai | STD
Haan main kuchh sochti hoon | STD
Baaki doctors se baat karni hogi | STD
Madam main Jujhar paahji se request kar ke do constable laga deta hoon | STD
Aap isko alag kamre mein daal do | STD
Bas din mein do ek chakkar maar lena | DEL
Par please  iska treatment mat roko | STD
Bas paahji aethhe hi chhad do | DEL
Tommy nu vekhan aaya hai | DEL
Laude laag gaye oude taa | DEL
Vekh Pehla taa kisi hotel chalde aan | DEL
Fresh hona hai | STD
Fer tu London di ticket book karaa de | DEL
Raati hi nikal jawaanga main | DEL
Hor sun  Ik kaam hor hai | DEL
Ik kudi | DEL
Kadey taa dujeyaan de vaare vi soch liya kar | DEL
Daddy nu jail ley gaye | DEL
Pulce dande maar maar puchh rhi honi hai | DEL
Tommy kitthe hai | DEL
Tommy kitthe hai | DEL
Jee taa chahanda hai ki tainu sut deyaan pulce de saamne | DEL
Par tu vekh le tainu kee theek lagda hai | DEL
Jassi Sun yaar Ik kudi hai | DEL
Sarhota di Heroin sheroin de chakkar vich fans gayi hai | DEL
bechaari Ouda pata laga le | DEL
Paihe puhe de ke ounu chhudana hai | DEL
Fer tu jo kahenga main oh hi karanga | DEL
Tu hero si mera | DEL
London waala cool coujin | DEL
Teri vardi The Gabru da crew | DEL
Chhaati fulaa ke payi si | DEL
Hun utaar di bhenchod | DEL
Kabhi kabhi naa tum touch kar deti ho | STD
Chal pra Aa gaya tera Sarhota | DEL
Paahji Ik kudi hai | DEL
Twaade pind di | DEL
Chal oye Svere svere | DEL
Bihar di hai shaayad | DEL
Achcha biharan Border de naal Karnail Singh de khet ne | DEL
Otthe kaam kardi hain biharanein | DEL
Arey ou to bhag gayi | EUP
Saamaan bhi nahi le ke gayi bataao | STD
Kiske saath gayi thi | STD
Kuchh idea hai | STD
Kya jaanein Sumdahi thi | EUP
Apne mein hi ghusi rehti thi | EUP
Uska naam | STD
Arey kya toh naam rahe uska | EUP
Ajeeb sa kuchh toh tha | STD
Arey Puspa ou hockey waali ka naam bataao toh | EUP
